"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Frigoribacterium sp Leaf8","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Frigoribacterium","Frigoribacterium sp Leaf8"
"Labedella gwakjiensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Labedella","Labedella gwakjiensis"
"Leifsonia sp ALI 44 B","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Leifsonia","Leifsonia sp ALI 44 B"
"Microbacterium foliorum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium foliorum"
"Microbacterium oleivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium oleivorans"
"Microbacterium sorbitolivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium sorbitolivorans"
"Microbacterium sp LKL04","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium sp LKL04"
"Microbacterium sp MYb66","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium sp MYb66"
"Microbacterium sp RU33B","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium sp RU33B"
"Microbacterium sp Root553","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium sp Root553"
"Microbacterium testaceum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","Microbacterium testaceum"
"Plantibacter cousiniae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Plantibacter","Plantibacter cousiniae"
"Plantibacter flavus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Plantibacter","Plantibacter flavus"
"Pseudoclavibacter sp RFBB5","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Pseudoclavibacter","Pseudoclavibacter sp RFBB5"
"Arthrobacter agilis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter agilis"
"Arthrobacter alpinus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter alpinus"
"Arthrobacter crystallopoietes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter crystallopoietes"
"Arthrobacter pityocampae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter pityocampae"
"Arthrobacter sp 7749","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp 7749"
"Arthrobacter sp AFG7 2","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp AFG7 2"
"Arthrobacter sp AQ5 05","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp AQ5 05"
"Arthrobacter sp Edens01","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp Edens01"
"Arthrobacter sp EpRS66","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp EpRS66"
"Arthrobacter sp Leaf137","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp Leaf137"
"Arthrobacter sp Leaf234","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp Leaf234"
"Arthrobacter sp MYb213","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp MYb213"
"Arthrobacter sp OY3WO11","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp OY3WO11"
"Arthrobacter sp RIT PI e","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp RIT PI e"
"Arthrobacter sp UCD GKA","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp UCD GKA"
"Arthrobacter sp UNCCL28","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","Arthrobacter sp UNCCL28"
"Citricoccus muralis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Citricoccus","Citricoccus muralis"
"Glutamicibacter arilaitensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter","Glutamicibacter arilaitensis"
"Glutamicibacter mysorens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter","Glutamicibacter mysorens"
"Glutamicibacter soli","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter","Glutamicibacter soli"
"Glutamicibacter sp","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter","Glutamicibacter sp"
"Glutamicibacter sp BW77","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter","Glutamicibacter sp BW77"
"Kocuria indica","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria indica"
"Kocuria marina","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria marina"
"Kocuria palustris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria palustris"
"Kocuria polaris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria polaris"
"Kocuria rhizophila","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria rhizophila"
"Kocuria rosea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria rosea"
"Kocuria varians","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria","Kocuria varians"
"Micrococcus aloeverae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus","Micrococcus aloeverae"
"Micrococcus luteus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus","Micrococcus luteus"
"Micrococcus lylae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus","Micrococcus lylae"
"Micrococcus terreus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus","Micrococcus terreus"
"Paeniglutamicibacter gangotriensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Paeniglutamicibacter","Paeniglutamicibacter gangotriensis"
"Pseudarthrobacter phenanthrenivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","Pseudarthrobacter phenanthrenivorans"
"Rothia nasimurium","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","Rothia nasimurium"
"Rothia sp","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","Rothia sp"
"Cellulosimicrobium cellulans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__Cellulosimicrobium","Cellulosimicrobium cellulans"
"Isoptericola halotolerans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__Isoptericola","Isoptericola halotolerans"
"Sanguibacter keddieii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Sanguibacteraceae","g__Sanguibacter","Sanguibacter keddieii"
"Sanguibacter marinus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Sanguibacteraceae","g__Sanguibacter","Sanguibacter marinus"
"Sanguibacter soli","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Sanguibacteraceae","g__Sanguibacter","Sanguibacter soli"
"Sanguibacter sp Leaf3","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Sanguibacteraceae","g__Sanguibacter","Sanguibacter sp Leaf3"
"Micromonospora aurantiaca","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora aurantiaca"
"Micromonospora chalcea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora chalcea"
"Micromonospora citrea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora citrea"
"Micromonospora echinofusca","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora echinofusca"
"Micromonospora sp NRRL B 16802","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora sp NRRL B 16802"
"Micromonospora zamorensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","Micromonospora zamorensis"
"Aeromicrobium choanae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Aeromicrobium","Aeromicrobium choanae"
"Aeromicrobium sp Root472D3","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Aeromicrobium","Aeromicrobium sp Root472D3"
"Friedmanniella sagamiharensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Friedmanniella","Friedmanniella sagamiharensis"
"Marmoricola scoriae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Marmoricola","Marmoricola scoriae"
"Marmoricola sp Leaf446","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Marmoricola","Marmoricola sp Leaf446"
"Nocardioides exalbidus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides","Nocardioides exalbidus"
"Nocardioides lianchengensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides","Nocardioides lianchengensis"
"Acidipropionibacterium acidipropionici","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Acidipropionibacterium","Acidipropionibacterium acidipropionici"
"Cutibacterium acnes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Cutibacterium acnes"
"Cutibacterium granulosum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Cutibacterium granulosum"
"Propionibacterium namnetense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Propionibacterium namnetense"
"Luteococcus japonicus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Luteococcus","Luteococcus japonicus"
"Tessaracoccus aquimaris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Tessaracoccus","Tessaracoccus aquimaris"
"Tessaracoccus flavescens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Tessaracoccus","Tessaracoccus flavescens"
"Tessaracoccus flavus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Tessaracoccus","Tessaracoccus flavus"
"Tessaracoccus sp ZS01","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Tessaracoccus","Tessaracoccus sp ZS01"
"Actinoalloteichus sp AHMU CJ021","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinoalloteichus","Actinoalloteichus sp AHMU CJ021"
"Actinomycetospora cinnamomea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinomycetospora","Actinomycetospora cinnamomea"
"Actinosynnema pretiosum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinosynnema","Actinosynnema pretiosum"
"Lechevalieria fradiae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Lechevalieria","Lechevalieria fradiae"
"Prauserella sp Am3","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Prauserella","Prauserella sp Am3"
"Pseudonocardia ammonioxydans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia","Pseudonocardia ammonioxydans"
"Saccharomonospora azurea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharomonospora","Saccharomonospora azurea"
"Saccharomonospora glauca","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharomonospora","Saccharomonospora glauca"
"Saccharomonospora viridis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharomonospora","Saccharomonospora viridis"
"Saccharopolyspora flava","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora","Saccharopolyspora flava"
"Saccharopolyspora rectivirgula","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora","Saccharopolyspora rectivirgula"
"Saccharothrix sp NRRL B 16348","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharothrix","Saccharothrix sp NRRL B 16348"
"Streptomyces albus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces albus"
"Streptomyces caelestis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces caelestis"
"Streptomyces cavourensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces cavourensis"
"Streptomyces gancidicus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces gancidicus"
"Streptomyces griseorubens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces griseorubens"
"Streptomyces griseus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces griseus"
"Streptomyces harbinensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces harbinensis"
"Streptomyces koyangensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces koyangensis"
"Streptomyces pini","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces pini"
"Streptomyces radiopugnans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces radiopugnans"
"Streptomyces regensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces regensis"
"Streptomyces resistomycificus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces resistomycificus"
"Streptomyces sp AVP053U2","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces sp AVP053U2"
"Streptomyces sp F 3","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces sp F 3"
"Streptomyces sp TRM SA0054","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces sp TRM SA0054"
"Streptomyces sp WMMB 714","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces sp WMMB 714"
"Streptomyces viridochromogenes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","Streptomyces viridochromogenes"
