"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA631","1747","3","Control","4/15/19",-25,24476981,23898393,"2",5546288,"Farm D","Sample",-28,"-4",18352105,"USDA631"
"USDA633","1713","13","Case","3/16/19",-1,30613545,29117250,"2",26335763,"Farm D","Sample",-14,"-2",2781487,"USDA633"
"USDA634","1733","6","Case","4/12/19",-22,39352706,36911680,"1",26401713,"Farm D","Sample",-28,"-4",10509967,"USDA634"
"USDA637","1750","10","Case","4/22/19",-32,24722763,24173464,"1",3978476,"Farm D","Sample",-42,"-6",20194988,"USDA637"
"USDA639","1755","9","Case","4/23/19",-33,30623721,29946424,"1",20023239,"Farm D","Sample",-42,"-6",9923185,"USDA639"
"USDA640","1703","0","Control","3/29/19",-8,39055466,37724242,"2",2055664,"Farm D","Sample",-8,"-2",35668578,"USDA640"
"USDA642","1749","9","Control","4/6/19",-16,40468282,39299781,"2",17671710,"Farm D","Sample",-25,"-4",21628071,"USDA642"
"USDA643","1702","6","Case","3/30/19",-5,39392111,38486892,"3",25495590,"Farm D","Sample",-11,"-2",12991302,"USDA643"
"USDA645","8429","5","Control","4/10/19",-16,33060233,32349891,"3",331381,"Farm D","Sample",-21,"-3",32018510,"USDA645"
"USDA647","8433","8","Control","3/28/19",-3,18987833,18637641,"1",3767946,"Farm D","Sample",-11,"-2",14869695,"USDA647"
"USDA651","8433","8","Control","3/28/19",-13,53289694,51296760,"1",25894158,"Farm D","Sample",-21,"-3",25402602,"USDA651"
"USDA652","1742","2","Control","4/3/19",-9,29127666,28442037,"3",1377133,"Farm D","Sample",-11,"-2",27064904,"USDA652"
"USDA653","1706","2","Case","3/19/19",-4,42890899,41345271,"3",4231762,"Farm D","Sample",-6,"-1",37113509,"USDA653"
"USDA657","1740","2","Case","3/19/19",-4,31954087,31059809,"2",18989576,"Farm D","Sample",-6,"-1",12070233,"USDA657"
"USDA659","1719","1","Case","4/4/19",-10,28771082,27662940,"1",11778131,"Farm D","Sample",-11,"-2",15884809,"USDA659"
"USDA660","1710","10","Case","4/5/19",-15,27167612,26536658,"1",292321,"Farm D","Sample",-25,"-4",26244337,"USDA660"
"USDA667","23349","4","Case","4/25/19",-28,27730827,27179887,"1",26900092,"Farm B","Sample",-32,"-5",279795,"USDA667"
"USDA672","23801","13","Control","4/23/19",-26,35471133,34657160,"2",7085027,"Farm B","Sample",-39,"-6",27572133,"USDA672"
"USDA682","23419","4","Case","4/25/19",-28,32614911,31438897,"2",6894440,"Farm B","Sample",-32,"-5",24544457,"USDA682"
"USDA684","23909","32","Case","6/1/19",-2,35105723,34370650,"3",33922511,"Farm B","Sample",-34,"-5",448139,"USDA684"
"USDA695","23645","1","Control","4/18/19",-21,23426536,23036020,"3",2156998,"Farm B","Sample",-22,"-4",20879022,"USDA695"
"USDA719","23747","2","Control","4/8/19",-11,30586086,29885146,"2",6447681,"Farm B","Sample",-13,"-2",23437465,"USDA719"
"USDA720","23660","3","Case","4/22/19",-25,29636237,28990254,"1",11554833,"Farm B","Sample",-28,"-4",17435421,"USDA720"
"USDA721","1720","4","Case","4/1/19",-11,29115718,28362971,"1",18039721,"Farm D","Sample",-15,"-3",10323250,"USDA721"
"USDA722","1705","4","Control","4/1/19",-11,27040957,26370731,"1",3394976,"Farm D","Sample",-15,"-3",22975755,"USDA722"
"USDA724","1732","10","Case","4/5/19",-15,33149084,32456541,"1",27352127,"Farm D","Sample",-25,"-4",5104414,"USDA724"
"USDA726","1737","4","Control","4/14/19",-24,52016036,47429513,"1",7898779,"Farm D","Sample",-28,"-4",39530734,"USDA726"
"USDA734","1739","9","Case","4/9/19",-19,23706572,22837406,"2",1724635,"Farm D","Sample",-28,"-4",21112771,"USDA734"
"USDA736","8441","9","Case","4/6/19",-16,28637804,27842087,"1",471684,"Farm D","Sample",-25,"-4",27370403,"USDA736"
"USDA757","5573","1","Control","9/26/19",-35,30025506,28974881,"2",203065,"Farm C","Sample",-36,"-6",28771816,"USDA757"
"USDA776","24012","2","Control","6/11/19",2,24262977,23591487,"1",3628648,"Farm B","Sample",0,"-1",19962839,"USDA776"
"USDA782","1715","2","Control","5/14/19",-32,31656521,30998738,"1",13222792,"Farm D","Sample",-34,"-5",17775946,"USDA782"
